Time,Use[kW],Gen[kW],Office[kW],Garage[kW],Kitchen[kW],LivingRoom[kW],Pressure[mm Hg],WindSpeed [mps],Temperature[C],ApparentTemperature[C],DewPoint[C]
1451624439,1.654516667,0.00305,0.23785,0.132916667,0.0005834,0.001483333,1016.91,9.18,36.14,29.26,24.4
1451624440,1.582083333,0.003066667,0.242433333,0.045216667,0.000616667,0.001166667,1016.91,9.18,36.14,29.26,24.4
1451624441,1.440416667,0.0032,0.246733333,0.045033333,0.000649967,0.001383333,1016.91,9.18,36.14,29.26,24.4
1451624442,1.42185,0.00305,0.202433333,0.045033333,0.000616733,0.001216667,1016.91,9.18,36.14,29.26,24.4
1451624443,0.7322,0.00305,0.043333333,0.044966666,0.000583367,0.001216667,1016.91,9.18,36.14,29.26,24.4
1451624444,0.523216667,0.003366667,0.043383333,0.044783333,0.000816667,0.001516667,1016.91,9.18,36.14,29.26,24.4
1451624445,0.50875,0.00335,0.043383333,0.04485,0.000783367,0.001516667,1016.91,9.18,36.14,29.26,24.4
1451624446,0.613583333,0.003333333,0.043416667,0.047,0.000833333,0.0015,1016.91,9.18,36.14,29.26,24.4
1451624447,0.917666667,0.00335,0.0436,0.18815,0.001016666,0.001833333,1016.91,9.18,36.14,29.26,24.4
1451624448,0.9594,0.003366667,0.043666667,0.049116666,0.001200034,0.001483333,1016.91,9.18,36.14,29.26,24.4
1451624449,0.918633333,0.003383333,0.043716667,0.044033333,0.0012,0.001466667,1016.91,9.18,36.14,29.26,24.4
1451624450,0.837,0.003416667,0.043516667,0.0442,0.001216634,0.001633333,1016.91,9.18,36.14,29.26,24.4
1451624451,0.494866667,0.0034,0.043283333,0.044666667,0.000833333,0.001633333,1016.91,9.18,36.14,29.26,24.4
1451624452,0.5872,0.003433333,0.043166667,0.0449,0.0007167,0.001616667,1016.91,9.18,36.14,29.26,24.4
1451624453,0.9307,0.003383333,0.042916667,0.045083334,0.0007833,0.001616667,1016.91,9.18,36.14,29.26,24.4
1451624454,1.36085,0.003433333,0.042616667,0.045166667,0.000650033,0.001516667,1016.91,9.18,36.14,29.26,24.4
1451624455,1.36195,0.0034,0.04265,0.045183334,0.0007167,0.001616667,1016.91,9.18,36.14,29.26,24.4
1451624456,1.149316667,0.00345,0.042783333,0.045233333,0.0008667,0.001666667,1016.91,9.18,36.14,29.26,24.4
1451624457,1.032816667,0.0034,0.042733333,0.045033333,0.0008,0.00165,1016.91,9.18,36.14,29.26,24.4
1451624458,0.7142,0.003416667,0.043066667,0.044933333,0.000733367,0.001633333,1016.25,8.29,35.87,29.4,23.9
1451624459,0.497066667,0.003416667,0.043283333,0.044666666,0.0008334,0.0017,1016.25,8.29,35.87,29.4,23.9
1451624460,0.465133333,0.00345,0.04325,0.04475,0.000816667,0.001633333,1016.25,8.29,35.87,29.4,23.9
1451624461,0.512933333,0.003416667,0.0433,0.0447,0.000833333,0.001683333,1016.25,8.29,35.87,29.4,23.9
1451624462,0.651283333,0.003416667,0.043283333,0.044716667,0.000499967,0.001666667,1016.25,8.29,35.87,29.4,23.9
1451624463,0.71045,0.003433333,0.043283333,0.044683334,0.000466667,0.00165,1016.25,8.29,35.87,29.4,23.9
1451624464,1.195683333,0.0034,0.0436,0.043733334,0.00085,0.001566667,1016.25,8.29,35.87,29.4,23.9
1451624465,1.184766667,0.003433333,0.04355,0.043783333,0.000833334,0.00155,1016.25,8.29,35.87,29.4,23.9
1451624466,1.157433333,0.003416667,0.043783333,0.0437,0.000883367,0.001433333,1016.25,8.29,35.87,29.4,23.9
1451624467,0.815616667,0.003416667,0.04375,0.0442,0.000583334,0.001433333,1016.25,8.29,35.87,29.4,23.9
1451624468,0.61905,0.003433333,0.0435,0.0448,0.0005334,0.0015,1016.25,8.29,35.87,29.4,23.9
1451624469,0.754166667,0.003416667,0.043166667,0.044983333,0.0005,0.001583333,1016.25,8.29,35.87,29.4,23.9
1451624470,1.042116667,0.003416667,0.04315,0.04485,0.0006167,0.001466667,1016.25,8.29,35.87,29.4,23.9
1451624471,1.324533333,0.0034,0.042616667,0.0451,0.000700034,0.0015,1016.25,8.29,35.87,29.4,23.9
1451624472,1.359466667,0.003416667,0.042633333,0.045033333,0.0006667,0.0016,1016.25,8.29,35.87,29.4,23.9
1451624473,1.3133,0.003383333,0.042633333,0.0448,0.0006333,0.001533333,1016.25,8.29,35.87,29.4,23.9
1451624474,1.603183333,0.003383333,0.043166667,0.0441,0.000383367,0.001583333,1016.25,8.29,35.87,29.4,23.9
1451624475,1.208766667,0.0034,0.043466667,0.1394,0.000750033,0.001833333,1016.25,8.29,35.87,29.4,23.9
1451624476,1.072566667,0.003383333,0.0435,0.08995,0.000799967,0.001766667,1016.25,8.29,35.87,29.4,23.9
1451624477,1.0283,0.003433333,0.043466667,0.043983333,0.000800033,0.001633333,1016.25,8.29,35.87,29.4,23.9
1451624478,1.025233333,0.003383333,0.043483333,0.044066667,0.000783333,0.001516667,1016.25,8.29,35.87,29.4,23.9
1451624479,1.025866667,0.003416667,0.0435,0.0441,0.000800033,0.001566667,1016.25,8.29,35.87,29.4,23.9
1451624480,1.095533333,0.003383333,0.043483333,0.16385,0.0007667,0.00185,1016.25,8.29,35.87,29.4,23.9
1451624481,0.99885,0.0034,0.0434,0.0768,0.0007667,0.001666667,1016.25,8.29,35.87,29.4,23.9
1451624482,0.584066667,0.0034,0.043166667,0.044716666,0.000466733,0.001616667,1016.25,8.29,35.87,29.4,23.9
1451624483,0.568116667,0.003433333,0.0432,0.044816667,0.000433367,0.001666667,1016.25,8.29,35.87,29.4,23.9
1451624484,0.5922,0.0034,0.043166667,0.044766667,0.000466633,0.001616667,1016.25,8.29,35.87,29.4,23.9
1451624485,0.6984,0.003416667,0.043133333,0.044866667,0.000533333,0.001666667,1016.25,8.29,35.87,29.4,23.9
1451624486,0.872033333,0.003416667,0.043,0.044966667,0.000583367,0.001583333,1016.25,8.29,35.87,29.4,23.9
1451624487,1.318816667,0.003433333,0.042716667,0.045216667,0.0007167,0.001583333,1016.25,8.29,35.87,29.4,23.9
1451624488,1.3866,0.003383333,0.042716667,0.045066666,0.000633333,0.001583333,1016.25,8.29,35.87,29.4,23.9
1451624489,1.384583333,0.003416667,0.04275,0.045133333,0.0006833,0.001616667,1016.25,8.29,35.87,29.4,23.9
1451624490,1.2114,0.003383333,0.042766667,0.04515,0.0006167,0.001583333,1016.25,8.29,35.87,29.4,23.9
1451624491,1.07305,0.003416667,0.042966667,0.04485,0.000550033,0.001566667,1016.25,8.29,35.87,29.4,23.9
1451624492,0.891583333,0.003416667,0.043516667,0.0442,0.0007,0.001683333,1016.25,8.29,35.87,29.4,23.9
1451624493,0.8999,0.003433333,0.043616667,0.04425,0.001083366,0.001616667,1016.25,8.29,35.87,29.4,23.9
1451624494,0.830633333,0.003416667,0.043583333,0.044383333,0.001183366,0.00165,1016.25,8.29,35.87,29.4,23.9
1451624495,0.572466667,0.003433333,0.043483333,0.044816666,0.000933367,0.001583333,1016.25,8.29,35.87,29.4,23.9
1451624496,0.4222,0.00345,0.043366667,0.045033333,0.0008167,0.001683333,1016.25,8.29,35.87,29.4,23.9
1451624497,0.421366667,0.003433333,0.04335,0.045016667,0.0008,0.001566667,1016.25,8.29,35.87,29.4,23.9
1451624498,0.4195,0.003433333,0.04335,0.045033333,0.000816633,0.001666667,1016.25,8.29,35.87,29.4,23.9
1451624499,0.506516667,0.00345,0.0434,0.044883333,0.0008333,0.001633333,1016.25,8.29,35.87,29.4,23.9
1451624500,0.6223,0.003416667,0.0435,0.044666666,0.00095,0.0017,1016.25,8.29,35.87,29.4,23.9
1451624501,0.951366667,0.003433333,0.043733333,0.122316666,0.001233367,0.001733333,1016.25,8.29,35.87,29.4,23.9
1451624502,0.981,0.003433333,0.043733333,0.117633334,0.001166667,0.00175,1016.25,8.29,35.87,29.4,23.9
1451624503,1.0481,0.0034,0.043566667,0.044316667,0.001150033,0.001566667,1016.25,8.29,35.87,29.4,23.9
1451624504,1.376433333,0.003416667,0.0433,0.04445,0.000866667,0.00165,1016.25,8.29,35.87,29.4,23.9
1451624505,1.616016667,0.003416667,0.0432,0.0445,0.0007667,0.001616667,1016.25,8.29,35.87,29.4,23.9
1451624506,1.613416667,0.0034,0.043133333,0.044466666,0.000766633,0.001566667,1016.25,8.29,35.87,29.4,23.9
1451624507,1.573383333,0.003433333,0.043133333,0.0445,0.000733267,0.00155,1016.25,8.29,35.87,29.4,23.9
1451624508,1.44585,0.003416667,0.0431,0.044416667,0.0007667,0.0016,1016.25,8.29,35.87,29.4,23.9
1451624509,0.940916667,0.003416667,0.0429,0.04505,0.000766667,0.001616667,1016.25,8.29,35.87,29.4,23.9
1451624510,0.418883333,0.0034,0.043283333,0.044866666,0.000766667,0.001683333,1016.25,8.29,35.87,29.4,23.9
1451624511,0.41945,0.003433333,0.0433,0.04495,0.0008,0.00155,1016.25,8.29,35.87,29.4,23.9
1451624512,0.418216667,0.00345,0.0433,0.045033333,0.000800033,0.001633333,1016.25,8.29,35.87,29.4,23.9
1451624513,0.4286,0.003433333,0.043333333,0.04505,0.0008167,0.001716667,1016.25,8.29,35.87,29.4,23.9
1451624514,0.43665,0.003433333,0.043366667,0.045016667,0.0008167,0.001616667,1016.25,8.29,35.87,29.4,23.9
1451624515,0.443233333,0.003466667,0.043416667,0.044933334,0.0007667,0.001566667,1016.25,8.29,35.87,29.4,23.9
1451624516,0.6316,0.003466667,0.0434,0.04475,0.000566667,0.001616667,1015.98,8.2,35.4,28.87,23.39
1451624517,1.070016667,0.0035,0.043583333,0.0442,0.000583367,0.001683333,1015.98,8.2,35.4,28.87,23.39
1451624518,1.01625,0.003466667,0.043533333,0.0443,0.000633367,0.001683333,1015.98,8.2,35.4,28.87,23.39
1451624519,0.820666667,0.003466667,0.043583333,0.044383334,0.001083366,0.0016,1015.98,8.2,35.4,28.87,23.39
1451624520,0.539166667,0.003516667,0.043366667,0.044933333,0.000733333,0.001616667,1015.98,8.2,35.4,28.87,23.39
1451624521,0.564366667,0.003466667,0.04325,0.045133333,0.000750033,0.00155,1015.98,8.2,35.4,28.87,23.39
1451624522,0.9612,0.0035,0.042966667,0.045316666,0.000816666,0.00165,1015.98,8.2,35.4,28.87,23.39
1451624523,1.2237,0.00345,0.042866667,0.147666666,0.000850033,0.001833333,1015.98,8.2,35.4,28.87,23.39
1451624524,1.1087,0.003483333,0.04285,0.096983333,0.0008833,0.001733333,1015.98,8.2,35.4,28.87,23.39
1451624525,1.08495,0.003466667,0.042833333,0.04505,0.000800034,0.001683333,1015.98,8.2,35.4,28.87,23.39
1451624526,0.577566667,0.003483333,0.043333333,0.045,0.00075,0.001566667,1015.98,8.2,35.4,28.87,23.39
1451624527,0.426083333,0.0035,0.04335,0.044983334,0.00075,0.0016,1015.98,8.2,35.4,28.87,23.39
1451624528,0.47175,0.003483333,0.04345,0.0451,0.000799967,0.001666667,1015.98,8.2,35.4,28.87,23.39
1451624529,0.485883333,0.003433333,0.043433333,0.045066667,0.0008667,0.001733333,1015.98,8.2,35.4,28.87,23.39
1451624530,0.735183333,0.00345,0.04365,0.04475,0.001100033,0.001633333,1015.98,8.2,35.4,28.87,23.39
1451624531,0.729083333,0.003433333,0.04355,0.044716666,0.001100034,0.001716667,1015.98,8.2,35.4,28.87,23.39
1451624532,0.461833333,0.003483333,0.043483333,0.045183334,0.000883367,0.001666667,1015.98,8.2,35.4,28.87,23.39
1451624533,0.308316667,0.00345,0.04335,0.0453,0.000733333,0.001666667,1015.98,8.2,35.4,28.87,23.39
1451624534,0.36185,0.00345,0.043433333,0.045316666,0.0007834,0.001583333,1015.98,8.2,35.4,28.87,23.39
1451624535,0.483066667,0.003483333,0.043283333,0.045433333,0.00075,0.001583333,1015.98,8.2,35.4,28.87,23.39
1451624536,0.984616667,0.003416667,0.043033333,0.045733333,0.0009833,0.001616667,1015.98,8.2,35.4,28.87,23.39
1451624537,1.101983333,0.003466667,0.042833333,0.045583333,0.000950034,0.001683333,1015.98,8.2,35.4,28.87,23.39
1451624538,1.099116667,0.003416667,0.043,0.0455,0.0009667,0.001583333,1015.98,8.2,35.4,28.87,23.39
1451624539,1.094483333,0.003433333,0.042833333,0.045533334,0.0009667,0.001733333,1015.98,8.2,35.4,28.87,23.39
1451624540,1.04615,0.003466667,0.04295,0.045733333,0.0009333,0.001566667,1015.98,8.2,35.4,28.87,23.39
1451624541,0.9656,0.00345,0.042816667,0.045333333,0.000883367,0.001533333,1015.98,8.2,35.4,28.87,23.39
1451624542,0.612366667,0.003466667,0.043233333,0.045183333,0.0006833,0.001633333,1015.98,8.2,35.4,28.87,23.39
1451624543,0.5254,0.003466667,0.043333333,0.04525,0.000516733,0.001583333,1015.98,8.2,35.4,28.87,23.39
1451624544,0.5138,0.003416667,0.043383333,0.044966667,0.000466633,0.001666667,1015.98,8.2,35.4,28.87,23.39
1451624545,0.472533333,0.00345,0.043283333,0.045116666,0.000500033,0.001783333,1015.98,8.2,35.4,28.87,23.39
1451624546,0.465566667,0.003466667,0.043366667,0.045383334,0.000500033,0.001616667,1015.98,8.2,35.4,28.87,23.39
1451624547,0.46115,0.00345,0.043233333,0.045083333,0.00055,0.001616667,1015.98,8.2,35.4,28.87,23.39
1451624548,0.459883333,0.00345,0.043366667,0.045,0.000483367,0.001633333,1015.98,8.2,35.4,28.87,23.39
1451624549,0.4605,0.003416667,0.043266667,0.045183333,0.000516733,0.001666667,1015.98,8.2,35.4,28.87,23.39
1451624550,0.4947,0.00345,0.043316667,0.045066666,0.000549933,0.001633333,1015.98,8.2,35.4,28.87,23.39
1451624551,0.506783333,0.003433333,0.043266667,0.044966667,0.000516633,0.00165,1015.98,8.2,35.4,28.87,23.39
1451624552,0.542216667,0.00345,0.04345,0.045133334,0.000533367,0.001583333,1015.98,8.2,35.4,28.87,23.39
1451624553,0.681333333,0.00345,0.04335,0.045266667,0.0005667,0.001583333,1015.98,8.2,35.4,28.87,23.39
1451624554,1.034183333,0.00345,0.0431,0.0455,0.0007,0.001616667,1015.98,8.2,35.4,28.87,23.39
1451624555,1.252466667,0.0034,0.043083333,0.04545,0.0008167,0.001433333,1015.98,8.2,35.4,28.87,23.39
1451624556,1.217616667,0.00345,0.042833333,0.0456,0.000766667,0.001583333,1015.98,8.2,35.4,28.87,23.39
1451624557,1.1169,0.00345,0.0428,0.045266667,0.000716633,0.00165,1015.98,8.2,35.4,28.87,23.39
1451624558,0.8278,0.003466667,0.043166667,0.045233333,0.0006167,0.001716667,1015.98,8.2,35.4,28.87,23.39
1451624559,0.626066667,0.003433333,0.043433333,0.044933333,0.0005167,0.001766667,1015.98,8.2,35.4,28.87,23.39
1451624560,0.625016667,0.003416667,0.043333333,0.04495,0.000516733,0.001666667,1015.98,8.2,35.4,28.87,23.39
1451624561,0.6246,0.00345,0.043366667,0.044833334,0.0005167,0.001633333,1015.98,8.2,35.4,28.87,23.39
1451624562,0.624066667,0.003433333,0.043316667,0.044883333,0.000483367,0.00165,1015.98,8.2,35.4,28.87,23.39
1451624563,0.6243,0.00345,0.043316667,0.044883333,0.000483333,0.00165,1015.98,8.2,35.4,28.87,23.39
1451624564,0.624483333,0.00345,0.043316667,0.044833334,0.000483367,0.00165,1015.98,8.2,35.4,28.87,23.39
1451624565,0.625983333,0.003433333,0.043366667,0.04485,0.000500033,0.00165,1015.98,8.2,35.4,28.87,23.39
1451624566,0.650616667,0.003433333,0.0433,0.044933333,0.000466667,0.00165,1015.98,8.2,35.4,28.87,23.39
1451624567,0.72445,0.003466667,0.043283333,0.045,0.000533367,0.00165,1015.98,8.2,35.4,28.87,23.39
1451624568,0.8065,0.003433333,0.043216667,0.045333333,0.0006167,0.001516667,1015.98,8.2,35.4,28.87,23.39
1451624569,1.191433333,0.003433333,0.042883333,0.045383334,0.000866667,0.001633333,1015.98,8.2,35.4,28.87,23.39
1451624570,1.102633333,0.003433333,0.0429,0.045466667,0.0009833,0.001716667,1015.98,8.2,35.4,28.87,23.39
1451624571,1.09835,0.0034,0.043183333,0.045283334,0.000983333,0.00155,1015.98,8.2,35.4,28.87,23.39
1451624572,1.062483333,0.003416667,0.043283333,0.045133333,0.000983366,0.001316667,1015.98,8.2,35.4,28.87,23.39
1451624573,0.964983333,0.003416667,0.043183333,0.04525,0.000950033,0.00145,1015.98,8.2,35.4,28.87,23.39
1451624574,0.660283333,0.003416667,0.043133333,0.04515,0.000800033,0.001516667,1016.07,5.47,35.25,30.51,24.18
1451624575,0.35565,0.00345,0.043633333,0.04505,0.000816633,0.001516667,1016.07,5.47,35.25,30.51,24.18
1451624576,0.356166667,0.003433333,0.043416667,0.045033334,0.000766733,0.001633333,1016.07,5.47,35.25,30.51,24.18
1451624577,0.355433333,0.00345,0.04335,0.045016666,0.000750033,0.001683333,1016.07,5.47,35.25,30.51,24.18
1451624578,0.353833333,0.003433333,0.04335,0.04505,0.000750033,0.001666667,1016.07,5.47,35.25,30.51,24.18
1451624579,0.366983333,0.00345,0.05465,0.045016666,0.000783333,0.0017,1016.07,5.47,35.25,30.51,24.18
1451624580,0.380316667,0.003433333,0.070416667,0.044933333,0.000799933,0.00165,1016.07,5.47,35.25,30.51,24.18
1451624581,0.381716667,0.00345,0.0693,0.045016666,0.000799967,0.001566667,1016.07,5.47,35.25,30.51,24.18
1451624582,0.385166667,0.00345,0.072466667,0.045083333,0.000766667,0.001583333,1016.07,5.47,35.25,30.51,24.18
1451624583,0.43125,0.003433333,0.094916667,0.045133333,0.0008,0.00165,1016.07,5.47,35.25,30.51,24.18
1451624584,0.532833333,0.003433333,0.089766667,0.04515,0.0007833,0.00165,1016.07,5.47,35.25,30.51,24.18
1451624585,0.707933333,0.003433333,0.086933333,0.0452,0.000799967,0.001583333,1016.07,5.47,35.25,30.51,24.18
1451624586,1.146783333,0.0034,0.085066667,0.045466667,0.000866666,0.0016,1016.07,5.47,35.25,30.51,24.18
1451624587,1.146333333,0.003433333,0.0846,0.0454,0.0009167,0.001616667,1016.07,5.47,35.25,30.51,24.18
1451624588,1.140816667,0.0034,0.080116667,0.04535,0.0009167,0.001616667,1016.07,5.47,35.25,30.51,24.18
1451624589,1.104866667,0.003433333,0.079033333,0.0454,0.0009167,0.001683333,1016.07,5.47,35.25,30.51,24.18
1451624590,1.004516667,0.003416667,0.075966667,0.045183333,0.000916667,0.001733333,1016.07,5.47,35.25,30.51,24.18
1451624591,0.69745,0.003433333,0.078616667,0.045183333,0.0007833,0.0016,1016.07,5.47,35.25,30.51,24.18
1451624592,0.400966667,0.00345,0.076833333,0.045083333,0.0007834,0.001683333,1016.07,5.47,35.25,30.51,24.18
1451624593,0.394983333,0.003466667,0.079666667,0.04505,0.0008334,0.001616667,1016.07,5.47,35.25,30.51,24.18
1451624594,0.578283333,0.003416667,0.071583333,0.04505,0.000500033,0.001416667,1016.07,5.47,35.25,30.51,24.18
1451624595,0.6243,0.003433333,0.078066667,0.044833333,0.000416633,0.001683333,1016.07,5.47,35.25,30.51,24.18
1451624596,0.836433333,0.003433333,0.074833333,0.044533333,0.000816667,0.00145,1016.07,5.47,35.25,30.51,24.18
1451624597,0.81695,0.003483333,0.076466667,0.044466667,0.001133334,0.001583333,1016.07,5.47,35.25,30.51,24.18
1451624598,0.795916667,0.00345,0.066516667,0.04455,0.001166667,0.0016,1016.07,5.47,35.25,30.51,24.18
1451624599,0.795116667,0.003466667,0.066233333,0.044516667,0.001166667,0.001633333,1016.07,5.47,35.25,30.51,24.18
1451624600,0.856283333,0.00345,0.067383333,0.044566667,0.0011,0.001666667,1016.07,5.47,35.25,30.51,24.18
1451624601,0.964266667,0.003466667,0.065283333,0.0446,0.0010833,0.00165,1016.07,5.47,35.25,30.51,24.18
1451624602,1.3912,0.00345,0.071116667,0.0447,0.000800033,0.0017,1016.07,5.47,35.25,30.51,24.18
1451624603,1.524383333,0.0034,0.064466667,0.044683333,0.000733333,0.0016,1016.07,5.47,35.25,30.51,24.18
1451624604,1.524333333,0.003433333,0.064333333,0.044783333,0.000700033,0.001616667,1016.07,5.47,35.25,30.51,24.18
1451624605,1.531166667,0.003433333,0.0713,0.0448,0.00075,0.001616667,1016.07,5.47,35.25,30.51,24.18
1451624606,1.462716667,0.003433333,0.079633333,0.044633334,0.000716733,0.001633333,1016.07,5.47,35.25,30.51,24.18
1451624607,1.407533333,0.00345,0.0798,0.044716667,0.0007667,0.00165,1016.07,5.47,35.25,30.51,24.18
1451624608,0.906033333,0.003466667,0.08045,0.0446,0.0011,0.00165,1016.07,5.47,35.25,30.51,24.18
1451624609,0.8744,0.003466667,0.07995,0.130633334,0.0011667,0.001766667,1016.07,5.47,35.25,30.51,24.18
1451624610,0.833916667,0.003433333,0.066416667,0.102533333,0.001116667,0.001766667,1016.07,5.47,35.25,30.51,24.18
1451624611,0.7824,0.003433333,0.0639,0.044416667,0.00115,0.001583333,1016.07,5.47,35.25,30.51,24.18
1451624612,0.78235,0.003466667,0.0659,0.044433333,0.0011667,0.001483333,1016.07,5.47,35.25,30.51,24.18
1451624613,0.7877,0.003466667,0.065433333,0.044583334,0.0011167,0.001666667,1016.07,5.47,35.25,30.51,24.18
1451624614,0.778933333,0.003466667,0.0634,0.044516667,0.001133367,0.001616667,1016.07,5.47,35.25,30.51,24.18
1451624615,0.78155,0.003466667,0.0633,0.044533334,0.0011667,0.001733333,1016.07,5.47,35.25,30.51,24.18
1451624616,0.846183333,0.003433333,0.063333333,0.044533334,0.0009667,0.0017,1016.07,5.47,35.25,30.51,24.18
1451624617,0.952133333,0.003483333,0.063183333,0.044566667,0.000650033,0.001666667,1016.07,5.47,35.25,30.51,24.18
1451624618,1.001183333,0.00345,0.063083333,0.04455,0.000650033,0.001683333,1016.07,5.47,35.25,30.51,24.18
1451624619,1.106666667,0.003483333,0.063,0.0446,0.0006,0.001666667,1016.07,5.47,35.25,30.51,24.18
1451624620,1.596933333,0.003433333,0.0628,0.044733334,0.000499933,0.001666667,1016.07,5.47,35.25,30.51,24.18
1451624621,1.691383333,0.003433333,0.062866667,0.044716667,0.000450067,0.0016,1016.07,5.47,35.25,30.51,24.18
1451624622,1.680916667,0.00345,0.062883333,0.044783333,0.000483333,0.001616667,1016.07,5.47,35.25,30.51,24.18
1451624623,1.644783333,0.00345,0.062616667,0.044766667,0.000499967,0.00165,1016.07,5.47,35.25,30.51,24.18
1451624624,1.54415,0.003433333,0.062516667,0.044666667,0.000400033,0.0016,1016.07,5.47,35.25,30.51,24.18
1451624625,1.239466667,0.00345,0.054183333,0.044566666,0.000516667,0.0017,1016.07,5.47,35.25,30.51,24.18
1451624626,0.913333333,0.00345,0.043633333,0.044466667,0.0007,0.001583333,1016.07,5.47,35.25,30.51,24.18
1451624627,0.910966667,0.00345,0.0438,0.044433333,0.000733334,0.0015,1016.07,5.47,35.25,30.51,24.18
1451624628,0.908183333,0.003466667,0.043583333,0.044483333,0.0007167,0.0017,1016.07,5.47,35.25,30.51,24.18
